 ["Barritas Redonda de Ternera para Perro", "4.20\u20AC", "https://www.petsonic.com/3120-home_default/hobbit-alf-barritas-redonda-ternera-para-perros.jpg"],  
 ["Barritas Redonda de Cordero para Perro", "4.20\u20AC", "https://www.petsonic.com/3127-home_default/hobbit-alf-barritas-redonda-cordero-para-perros.jpg"],  
 ["Barritas Redonda de Pollo para Perro", "4.20\u20AC", "https://www.petsonic.com/3128-home_default/hobbit-alf-barritas-redonda-pollo-para-perros.jpg"],  
 ["Mini Huesitos Tiernos Mix para Perros", "3.60\u20AC", "https://www.petsonic.com/5858-home_default/hobbit-alf-mini-huesitos-tiernos-mix-para-perros.jpg"],  
 ["Snack Toffy Salm\u00F3n para Perro", "3.10\u20AC", "https://www.petsonic.com/10933-home_default/nayeco-snack-toffy-salmon-para-perros.jpg"],  
 ["Snack Toffy Pollo para Perro", "2.75\u20AC", "https://www.petsonic.com/11042-home_default/nayeco-snack-toffy-pollo-para-perros.jpg"],  
 ["Snack Toffy Cordero para Perro", "2.75\u20AC", "https://www.petsonic.com/11044-home_default/nayeco-snack-toffy-cordero-para-perros.jpg"],  
 ["Snack Toffy Surtido para Perro", "2.75\u20AC", "https://www.petsonic.com/11167-home_default/nayeco-snack-toffy-surtido-para-perros.jpg"],  
 ["Barritas 1kg Redonda Antisarro con Fluor...", "\u00F3lo7.69\u20AC", "https://www.petsonic.com/3133-home_default/hobbit-alf-barritas-1kg-redonda-antisarro-fluor-para-perros.jpg"],  
 ["Barrita de Cordero", "4.70\u20AC", "https://www.petsonic.com/3194-home_default/nayeco-barrita-cordero-para-perros.jpg"],  
 ["Delidog Barritas de Pollo", "8.10\u20AC", "https://www.petsonic.com/8020-home_default/delidog-barritas-pollo-para-perros.jpg"],  
 ["Delidog Barritas de Buey", "8.10\u20AC", "https://www.petsonic.com/8018-home_default/delidog-barritas-buey-para-perros.jpg"],  
 ["Delidog Barritas de Salm\u00F3n", "8.10\u20AC", "https://www.petsonic.com/8021-home_default/delidog-barritas-salmon-para-perros.jpg"],  
 ["Delidog Barritas de Cordero", "8.10\u20AC", "https://www.petsonic.com/8019-home_default/delidog-barritas-cordero-para-perros.jpg"],  
 ["Delidog Barritas Grain Free", "8.10\u20AC", "https://www.petsonic.com/8022-home_default/delidog-barritas-grain-free-para-perros.jpg"],  
 ["Barritas de Pollo con Omega-3 para Perro", "15.80\u20AC", "https://www.petsonic.com/11133-home_default/hobbit-alf-barritas-pollo-omega-3-para-perros.jpg"],  
 ["Barritas de Cordero Omega-3 para Perro", "15.80\u20AC", "https://www.petsonic.com/11132-home_default/hobbit-alf-barritas-cordero-omega-3-para-perros.jpg"],  
 ["Barritas de Ternera con Omega-3 para Perro", "15.80\u20AC", "https://www.petsonic.com/11134-home_default/hobbit-alf-barritas-ternera-omega-3-para-perros.jpg"],  
 ["Bocaditos Tiernos de Salm\u00F3n para Perro", "18.95\u20AC", "https://www.petsonic.com/11081-home_default/hobbit-alf-bocaditos-tiernos-salmon-para-perros.jpg"],  
 ["Estrellas Tiernas de Salm\u00F3n y Queso para...", "1.25\u20AC", "https://www.petsonic.com/11078-home_default/hobbit-alf-estrellas-tiernas-salmon-queso-para-perros.jpg"],  
